Date,comment,text_clean,like,Label
2026-01-09T12:11:50Z,Cuma berani sama negara kecil??,berani negara,0,Negatif
2026-01-09T11:18:23Z,"Rakyat venezuela sudah muak sama presidennya yang korup, negara minyak tapi rakyat miskin. Banyak warga negara venezuela dan Amerika latin jadi imigran gelap di Amerika karena nggak punya harapan hidup di negaranya, banyak juga yang jadi bandar dan kurir narkoba ke us, sampai2x ditangkap2xin dan dipulangin ke negara asalnya sama trump. Makanya rakyat venezuela diam saja diserang us. Klo mslh minyak ya itu aji mumpungnya us juga, tp selama dibeli diharga wajar dan tidak dikorupsi serta rakyat venezuela juga setuju mau bilang apa?",rakyat venezuela muak presiden korup negara minyak rakyat miskin warga negara venezuela amerika latin imigran gelap amerika harap hidup negara bandar kurir narkoba sampai2x ditangkap2xin dipulangin negara asal trump rakyat venezuela diam serang klo mslh minyak aji mumpung beli harga wajar korupsi rakyat venezuela tuju bilang,0,Negatif
2026-01-09T10:50:01Z,"Amerika pikir2 mau nyerang indonesia karna di sini TNI pasukan elit, nya sudah teruji",amerika pikir2 nyerang indonesia karna tni pasu elit uji,0,Netral
2026-01-09T09:59:59Z,Ini tindakan invasi,tindak invasi,0,Negatif
2026-01-09T05:14:54Z,"Apakah presiden Venezuela akan di hukum mati, sama halny presiden irak",presiden venezuela hukum mati halny presiden irak,0,Netral
2026-01-09T00:43:04Z,Bidap Amerika,bidap amerika,0,Negatif
2026-01-08T12:49:15Z,"Negara kecil dia serang, coba dong serang korea utara",negara serang coba serang korea utara,0,Negatif
2026-01-08T10:28:04Z,Wow ??,wow,0,Netral
2026-01-08T10:18:24Z,Militernya kemna kok raja di tangkap diam aja,militer kemna raja tangkap diam,0,Negatif
2026-01-08T03:02:15Z,"????????berarti bandar narkoba ada diseluruh dunia ,akan dikorek satu persatu siapa nama nya ??????????????",bandar narkoba seluruh dunia korek satu nama,0,Netral
2026-01-08T02:52:03Z,"Cadangan Minyak Venezuela diperkirakan 300 miliar barel Nomor 1 di dunia, So pasti tujuan AS Serang Venezuala untuk ITU!",cadang minyak venezuela 300 miliar barel nomor dunia tuju serang venezuala,0,Negatif
2026-01-08T02:37:21Z,"Militer lari  naik teksi yang menjaga maduro , memang usa dapat tangkap maduroo????????",militer lari teks jaga maduro usa tangkap maduroo,0,Negatif
